frame_idx,time_sec,left_hip_extension_deg,right_hip_extension_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,10.055215143858288,8.253694907137968,False,True,0.1884196549654007,0.9615318775177002,184.41571712493896,False
1,0.03343023255813953,9.913433146895818,8.290755766798116,False,True,0.18985030055046082,0.9618337750434875,184.3608283996582,False
2,0.06686046511627906,9.689900553901646,8.196844658783315,False,True,0.18841786682605743,0.9619788527488708,184.3877363204956,False
3,0.1002906976744186,9.577357515427575,8.122263822407998,False,True,0.1849372535943985,0.9609059691429138,184.3912124633789,False
4,0.13372093023255813,9.568036855583687,8.135343509757586,False,True,0.18441316485404968,0.9606791734695435,184.27338123321533,False
5,0.16715116279069767,9.517507657692242,8.081312044004566,False,True,0.18708491325378418,0.961820125579834,184.18916702270508,False
6,0.2005813953488372,9.512096795326764,8.028059672752288,False,True,0.1918685883283615,0.9633204340934753,184.07182216644287,False
7,0.23401162790697674,9.358169384040792,7.642970211441019,False,True,0.19465433061122894,0.9642335176467896,183.97948265075684,False
8,0.26744186046511625,9.210829977839861,7.435650168704262,False,True,0.19637779891490936,0.9647459387779236,183.85997772216797,False
9,0.3008720930232558,9.218708480081492,7.481681303496621,False,True,0.19726890325546265,0.9654039740562439,183.8586187362671,False
10,0.33430232558139533,9.344740473682371,7.687690063158857,False,True,0.1947828233242035,0.9653970003128052,183.82667541503906,False
11,0.36773255813953487,9.408030221417851,7.832529661553627,False,True,0.19033263623714447,0.9643418788909912,183.6738681793213,False
12,0.4011627906976744,9.706705233041363,8.383256582902389,False,True,0.18590988218784332,0.9630005359649658,183.67229461669922,False
13,0.43459302325581395,10.11677267956423,9.079102770589465,False,True,0.18192528188228607,0.9621251225471497,183.63863468170166,False
14,0.4680232558139535,10.543499321438162,9.650295269562452,False,True,0.18074795603752136,0.9622249603271484,183.63375663757324,False
15,0.501453488372093,10.645704220615455,9.880866071574875,False,True,0.17964059114456177,0.9628908634185791,183.7309169769287,False
16,0.5348837209302325,10.778535577014352,9.984507106446344,False,True,0.1796509027481079,0.9637731313705444,183.73705387115479,False
17,0.5683139534883721,10.83760670911804,10.153821818477109,False,True,0.17799775302410126,0.9639480710029602,183.7668800354004,False
18,0.6017441860465116,10.899473547336612,10.340348600524887,False,True,0.17783567309379578,0.9642471075057983,183.723406791687,False
19,0.6351744186046512,11.003607608237525,10.54116526846061,False,True,0.18282680213451385,0.9657338261604309,183.22524547576904,False
20,0.6686046511627907,11.082782538491077,10.601227998249433,False,True,0.1817145049571991,0.9656521677970886,182.98546314239502,False
21,0.7020348837209301,11.240302766903604,10.931170719238171,False,True,0.18256162106990814,0.96561598777771,182.99480438232422,False
22,0.7354651162790697,11.705523812401267,11.839703251092711,False,True,0.17856574058532715,0.964378833770752,192.33670234680176,False
23,0.7688953488372092,11.871546208083199,12.54303098175357,False,True,0.17299027740955353,0.9627218842506409,190.02111911773682,False
24,0.8023255813953488,11.65568737897392,13.12449351273482,False,True,0.17113591730594635,0.9628599286079407,189.0300178527832,False
25,0.8357558139534883,12.030767701822278,13.558497051168626,False,True,0.17346066236495972,0.9642162919044495,189.43006038665771,False
26,0.8691860465116279,12.455754988614292,14.68672450044437,False,True,0.17327547073364258,0.9646481275558472,189.14774894714355,False
27,0.9026162790697674,12.823131446756525,16.0470472894422,False,True,0.17700907588005066,0.9662090539932251,189.43426609039307,False
28,0.936046511627907,13.346289750630556,17.696469860203727,False,True,0.18621471524238586,0.9684020280838013,189.53447341918945,False
29,0.9694767441860465,12.734539765383952,20.123505276698722,False,True,0.19768266379833221,0.9704564213752747,190.42911529541016,False
30,1.002906976744186,12.113896030346321,21.48164883915525,False,True,0.2167430967092514,0.9727426767349243,191.53029441833496,False
31,1.0363372093023255,12.168438218378558,22.11236867440405,False,True,0.2395908534526825,0.9749257564544678,189.05948638916016,False
