frame_idx,time_sec,trunk_extension_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,4.3937683,False,False,0.9717088341712952,0.42643511295318604,36.05501174926758,False
1,0.033428300094966765,4.758026,False,False,0.9714215993881226,0.42472365498542786,37.00641632080078,False
2,0.06685660018993353,4.9337463,False,False,0.9710621237754822,0.4229377508163452,37.55215644836426,False
3,0.10028490028490028,4.952881,False,False,0.9705603122711182,0.42081254720687866,37.882118225097656,False
4,0.13371320037986706,4.959427,False,False,0.9701827168464661,0.41588786244392395,37.88097381591797,False
5,0.1671415004748338,4.978882,False,False,0.969959557056427,0.41311514377593994,37.77543067932129,False
6,0.20056980056980056,4.970047,False,False,0.9698408246040344,0.41073623299598694,37.82094955444336,False
7,0.23399810066476734,4.8955994,False,False,0.9696471691131592,0.4052765369415283,38.06227684020996,False
8,0.2674264007597341,4.862335,False,False,0.9693019390106201,0.40088340640068054,38.129825592041016,False
9,0.30085470085470084,4.9412384,False,False,0.9691401720046997,0.39843717217445374,38.18338394165039,False
10,0.3342830009496676,4.9809265,False,False,0.96934974193573,0.3994523882865906,38.24798583984375,False
11,0.3677113010446344,5.083847,False,False,0.9696435332298279,0.40043190121650696,38.65144729614258,False
12,0.4011396011396011,5.419281,False,False,0.9697481393814087,0.3993363380432129,39.45699691772461,False
13,0.4345679012345679,5.9817047,False,False,0.9700738191604614,0.3988661468029022,40.28709411621094,False
14,0.4679962013295347,6.605011,False,False,0.9704366326332092,0.3987238109111786,41.09759330749512,False
15,0.5014245014245015,7.19693,False,False,0.9711207747459412,0.3995344340801239,42.00963020324707,False
16,0.5348528015194682,7.6946564,False,False,0.9714652299880981,0.39953452348709106,42.62944221496582,False
17,0.568281101614435,8.088425,False,False,0.9719796776771545,0.3994254767894745,43.648366928100586,False
18,0.6017094017094017,8.417969,False,False,0.9722777009010315,0.40029802918434143,44.50587272644043,False
19,0.6351377018043685,8.67981,False,False,0.9721182584762573,0.3973595201969147,44.95905876159668,False
20,0.6685660018993352,8.801788,False,False,0.9720485210418701,0.3958328068256378,44.94884490966797,False
21,0.701994301994302,8.98526,False,False,0.9722309708595276,0.3980366587638855,44.87746238708496,False
22,0.7354226020892688,9.292374,False,False,0.972111165523529,0.39922577142715454,44.572792053222656,False
23,0.7688509021842356,9.596619,False,False,0.972100019454956,0.39960935711860657,44.41277503967285,False
24,0.8022792022792022,9.978424,False,False,0.9721695184707642,0.40272393822669983,44.57061767578125,False
25,0.835707502374169,10.444626,False,False,0.9721231460571289,0.40356895327568054,44.97719764709473,False
26,0.8691358024691358,10.928528,False,False,0.9719216823577881,0.4031952917575836,45.332679748535156,False
27,0.9025641025641026,11.438522,False,False,0.971642017364502,0.40211421251296997,46.332664489746094,False
28,0.9359924026590694,11.863632,False,False,0.9714229106903076,0.3996896743774414,47.55194664001465,False
29,0.9694207027540361,12.176605,False,False,0.9706552028656006,0.39293333888053894,48.25089454650879,False
30,1.002849002849003,12.344391,False,False,0.9703371524810791,0.39074230194091797,48.796348571777344,False
31,1.0362773029439696,12.390732,False,False,0.9700942039489746,0.38917458057403564,48.808908462524414,False
32,1.0697056030389365,12.486221,False,False,0.9698931574821472,0.38708245754241943,48.93442153930664,False
33,1.1031339031339031,12.591629,False,False,0.9698872566223145,0.3861829936504364,49.26770210266113,False
34,1.13656220322887,12.577652,False,False,0.9697815775871277,0.3837885856628418,49.66876029968262,False
35,1.1699905033238367,12.5429535,False,False,0.9697843194007874,0.381224662065506,50.019121170043945,False
36,1.2034188034188034,12.370621,False,False,0.9701129198074341,0.3802916407585144,50.02927780151367,False
