frame_idx,time_sec,trunk_extension_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,15.3471985,False,False,0.8931928277015686,0.18799111247062683,44.81028461456299,False
1,0.03329764453961456,16.014526,False,False,0.8967594504356384,0.19123388826847076,46.85144901275635,False
2,0.06659528907922913,17.047516,False,False,0.8979088068008423,0.1916666328907013,48.27440643310547,False
3,0.09989293361884369,18.143753,False,False,0.8991626501083374,0.19053152203559875,49.925004959106445,False
4,0.13319057815845825,19.333603,False,False,0.9005154371261597,0.18978655338287354,52.24395179748535,False
5,0.1664882226980728,20.882858,False,False,0.904655396938324,0.19363918900489807,55.635475158691406,False
6,0.19978586723768738,22.186325,False,False,0.9053894877433777,0.19448281824588776,58.08449077606201,False
7,0.23308351177730194,24.036102,False,False,0.9061559438705444,0.19684217870235443,60.22582721710205,False
8,0.2663811563169165,25.552826,False,False,0.9072638154029846,0.2019929140806198,61.734907150268555,False
9,0.29967880085653104,26.899231,False,False,0.9091655015945435,0.21052958071231842,63.45047092437744,False
10,0.3329764453961456,27.59282,False,False,0.9100303053855896,0.21714547276496887,65.13414669036865,False
11,0.36627408993576016,28.627869,False,False,0.9103206396102905,0.21944895386695862,66.70761108398438,False
12,0.39957173447537475,29.266418,False,False,0.9120888710021973,0.22646236419677734,68.21378707885742,False
13,0.4328693790149893,29.969116,False,False,0.9125542044639587,0.23046638071537018,69.79690361022949,False
14,0.4661670235546039,30.692749,False,False,0.914943516254425,0.2356642186641693,70.93273067474365,False
15,0.4994646680942184,31.090622,False,False,0.9178098440170288,0.24167674779891968,71.78717994689941,False
16,0.532762312633833,31.20343,False,False,0.9200571179389954,0.25038251280784607,72.1506700515747,False
17,0.5660599571734476,31.11737,False,False,0.9215878248214722,0.2567547559738159,72.13512706756592,False
18,0.5993576017130621,31.10347,False,False,0.922276496887207,0.26262736320495605,72.03489971160889,False
19,0.6326552462526767,31.014648,False,False,0.9246724247932434,0.26908454298973083,71.64214897155762,False
20,0.6659528907922913,30.85028,False,False,0.9273867011070251,0.2765500247478485,71.35073184967041,False
21,0.6992505353319058,30.526932,False,False,0.9304757118225098,0.2851954400539398,71.15995693206787,False
22,0.7325481798715203,29.983017,False,False,0.9328774809837341,0.2933602035045624,70.05740070343018,False
23,0.7658458244111349,29.42978,False,False,0.9358583092689514,0.3052244782447815,68.73798942565918,False
24,0.7991434689507495,28.790268,False,False,0.9373144507408142,0.3123262822628021,68.23239994049072,False
25,0.8324411134903641,28.22609,False,False,0.9384734034538269,0.3183170557022095,67.38649654388428,False
26,0.8657387580299786,27.742569,False,False,0.9391160011291504,0.3207603693008423,66.20077705383301,False
27,0.8990364025695932,27.452164,False,False,0.9395504593849182,0.32270577549934387,65.24803638458252,False
28,0.9323340471092078,27.11879,False,False,0.9389579892158508,0.32253655791282654,64.58884239196777,False
29,0.9656316916488223,26.868607,False,False,0.938606321811676,0.3235751986503601,64.10944366455078,False
30,0.9989293361884368,26.665878,False,False,0.9385628700256348,0.3249301016330719,63.21873664855957,False
31,1.0322269807280515,26.337708,False,False,0.9392961263656616,0.3247642517089844,62.74636268615723,False
32,1.065524625267666,26.19455,False,False,0.9394538402557373,0.32234397530555725,62.54939270019531,False
33,1.0988222698072805,26.00917,False,False,0.9392957091331482,0.3184705376625061,62.92552185058594,False
34,1.1321199143468952,25.714859,False,False,0.9386711716651917,0.3118477165699005,62.71256637573242,False
35,1.1654175588865097,25.364883,False,False,0.939289927482605,0.3081433176994324,62.59101581573486,False
36,1.1987152034261241,25.009338,False,False,0.9392709136009216,0.30366653203964233,62.4622745513916,False
37,1.2320128479657388,24.597885,False,False,0.9397620558738708,0.29997944831848145,61.94880294799805,False
38,1.2653104925053533,24.049133,False,False,0.9396359324455261,0.2944773733615875,61.4321231842041,False
39,1.2986081370449678,23.596207,False,False,0.9396083354949951,0.28966599702835083,60.954660415649414,False
40,1.3319057815845825,23.09932,False,False,0.9404990673065186,0.28572186827659607,60.53289794921875,False
41,1.365203426124197,22.538528,False,False,0.9399064183235168,0.280149906873703,60.08038139343262,False
42,1.3985010706638117,22.082993,False,False,0.940009593963623,0.2749952971935272,59.62869453430176,False
43,1.4317987152034262,21.70221,False,False,0.9404411315917969,0.2711039185523987,58.74224662780762,False
44,1.4650963597430406,21.23526,False,False,0.9411632418632507,0.2674165666103363,57.917887687683105,False
45,1.4983940042826553,20.813385,False,False,0.9416770339012146,0.2654308080673218,57.210405349731445,False
46,1.5316916488222698,20.334808,False,False,0.941803514957428,0.26289454102516174,56.188772201538086,False
47,1.5649892933618843,19.758804,False,False,0.9419128894805908,0.25950244069099426,54.408409118652344,False
48,1.598286937901499,19.128845,False,False,0.9424353241920471,0.2569645047187805,53.838905334472656,False
49,1.6315845824411135,18.651321,False,False,0.9411023259162903,0.25039970874786377,53.20070266723633,False
50,1.6648822269807282,18.332153,False,False,0.9401558637619019,0.24522362649440765,52.94333076477051,False
51,1.6981798715203427,17.659973,False,False,0.9387437105178833,0.23896625638008118,52.240660667419434,False
52,1.7314775160599571,16.648422,False,False,0.9362602233886719,0.23516999185085297,51.45825672149658,False
53,1.7647751605995718,15.733032,False,False,0.935824990272522,0.2320503145456314,50.02935314178467,False
54,1.7980728051391863,15.068329,False,False,0.933521568775177,0.22590264678001404,48.9827184677124,False
55,1.8313704496788008,14.603302,False,False,0.9330165982246399,0.2206556797027588,48.27191734313965,False
56,1.8646680942184155,14.220337,False,False,0.9333531260490417,0.21933315694332123,47.91357135772705,False
57,1.89796573875803,13.985657,False,False,0.9336099624633789,0.2188234180212021,48.06120204925537,False
58,1.9312633832976447,13.659454,False,False,0.9334965944290161,0.21943949162960052,47.29569625854492,False
59,1.9645610278372592,13.332794,False,False,0.9336923360824585,0.22211854159832,47.466835021972656,False
60,1.9978586723768736,12.927277,False,False,0.9337182641029358,0.2253257930278778,49.239481925964355,False
61,2.0311563169164883,12.628998,False,False,0.9342701435089111,0.23252826929092407,49.640557289123535,False
62,2.064453961456103,12.275909,False,False,0.9354907870292664,0.24238187074661255,49.49710273742676,False
63,2.0977516059957173,11.953583,False,False,0.9367928504943848,0.24932795763015747,49.848755836486816,False
64,2.131049250535332,11.692047,False,False,0.9379348158836365,0.25339075922966003,49.892812728881836,False
65,2.1643468950749467,11.270462,False,False,0.9386234879493713,0.2570781111717224,49.8542594909668,False
66,2.197644539614561,11.0637665,False,False,0.939677894115448,0.26109981536865234,49.87306594848633,False
67,2.2309421841541757,10.8871,False,False,0.9403505921363831,0.2635118067264557,50.181796073913574,False
68,2.2642398286937904,10.824036,False,False,0.9409288167953491,0.2648955285549164,50.51124095916748,False
69,2.2975374732334046,10.7808075,False,False,0.9405879974365234,0.2648175060749054,50.7959098815918,False
70,2.3308351177730193,10.766647,False,False,0.9402270317077637,0.2659495770931244,50.964393615722656,False
71,2.364132762312634,10.757477,False,False,0.9400492906570435,0.2652170956134796,51.21197509765625,False
72,2.3974304068522483,10.760437,False,False,0.9390079975128174,0.26422199606895447,51.371442794799805,False
73,2.430728051391863,10.756882,False,False,0.9382839202880859,0.2637990117073059,51.5147590637207,False
74,2.4640256959314777,10.818481,False,False,0.9372273683547974,0.26231321692466736,51.64156436920166,False
75,2.497323340471092,10.951538,False,False,0.9362879991531372,0.26180407404899597,51.76554870605469,False
76,2.5306209850107066,11.023895,False,False,0.9352433085441589,0.26038190722465515,51.907094955444336,False
77,2.5639186295503213,11.07724,False,False,0.9343795776367188,0.2578117549419403,52.02552032470703,False
78,2.5972162740899356,11.068649,False,False,0.9320146441459656,0.25381967425346375,52.01899337768555,False
79,2.6305139186295503,11.013458,False,False,0.9296409487724304,0.25027477741241455,51.38131618499756,False
80,2.663811563169165,10.983093,False,False,0.926648736000061,0.24677802622318268,50.76333045959473,False
81,2.6971092077087797,10.998688,False,False,0.9243855476379395,0.24269598722457886,50.29007148742676,False
82,2.730406852248394,10.986252,False,False,0.9227508306503296,0.23942488431930542,49.857744216918945,False
83,2.7637044967880087,11.044632,False,False,0.9214000701904297,0.23541699349880219,49.518094062805176,False
84,2.7970021413276234,11.0611725,False,False,0.919504702091217,0.23178674280643463,49.02539253234863,False
85,2.8302997858672376,11.137833,False,False,0.91888028383255,0.22830696403980255,48.64937400817871,False
86,2.8635974304068523,11.191727,False,False,0.9182802438735962,0.22426262497901917,48.50791072845459,False
87,2.896895074946467,11.249573,False,False,0.9184516072273254,0.22126759588718414,48.40024375915527,False
