frame_idx,time_sec,left_shoulder_flexion_deg,right_shoulder_flexion_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,7.274484,1.7524531,True,False,0.7131987810134888,0.10737626254558563,260.3726110458374,False
1,0.03335836909871245,7.024035,5.8647118,True,False,0.7291637063026428,0.1264718621969223,273.33014965057373,True
2,0.0667167381974249,6.860155,7.768697,True,False,0.7458266019821167,0.14421185851097107,280.24460649490356,True
3,0.10007510729613735,6.632824,8.397582,True,False,0.761591374874115,0.16074328124523163,285.68166399002075,True
4,0.1334334763948498,6.5366006,8.482857,True,False,0.776001513004303,0.17340028285980225,293.09941482543945,True
5,0.16679184549356224,6.4432983,8.744914,True,False,0.7876307964324951,0.18579040467739105,291.2027974128723,True
6,0.2001502145922747,6.3650713,8.682336,True,False,0.7967345714569092,0.19459475576877594,295.294322013855,True
7,0.23350858369098712,6.325395,8.85246,True,False,0.8031880259513855,0.19978107511997223,295.98888874053955,True
8,0.2668669527896996,6.1721563,9.164267,True,False,0.8056973218917847,0.20270892977714539,297.20508575439453,True
9,0.300225321888412,5.997701,9.243118,True,False,0.8108159303665161,0.20833970606327057,297.63820123672485,True
10,0.3335836909871245,5.823929,9.424708,True,False,0.8150352835655212,0.21288464963436127,296.75456047058105,True
11,0.3669420600858369,5.7505703,9.596834,True,False,0.816962480545044,0.21507005393505096,297.30235385894775,True
12,0.4003004291845494,5.694262,9.731528,True,False,0.8202768564224243,0.2185872346162796,296.65235567092896,True
13,0.4336587982832618,5.6684933,9.733084,True,False,0.8234589099884033,0.2212122678756714,296.1557822227478,True
14,0.46701716738197424,5.62974,9.745095,True,False,0.8249773383140564,0.2234003245830536,296.1134123802185,True
15,0.5003755364806867,5.6273723,9.867609,True,False,0.8249404430389404,0.22370558977127075,297.5511107444763,True
16,0.5337339055793991,5.6196356,9.910719,True,False,0.8272114992141724,0.22603543102741241,297.5559368133545,True
17,0.5670922746781116,5.6334643,9.9077425,True,False,0.8289375901222229,0.22798965871334076,297.3421654701233,True
18,0.600450643776824,5.6566906,9.911751,True,False,0.8312516808509827,0.2320118099451065,297.0713109970093,True
19,0.6338090128755365,5.659081,9.897992,True,False,0.833893358707428,0.2361014038324356,296.85665464401245,True
20,0.667167381974249,5.676889,9.877945,True,False,0.8356845378875732,0.2381892055273056,296.71974086761475,True
21,0.7005257510729614,5.676647,9.890778,True,False,0.8379328846931458,0.24161751568317413,296.53254747390747,True
22,0.7338841201716738,5.6795464,9.894574,True,False,0.8405973315238953,0.24521656334400177,296.45148611068726,True
23,0.7672424892703863,5.686409,9.900336,True,False,0.8428090810775757,0.2479339838027954,296.43049478530884,True
24,0.8006008583690988,5.6862025,9.911077,True,False,0.8447411060333252,0.25079628825187683,296.3842668533325,True
25,0.8339592274678111,5.6807885,9.934046,True,False,0.8461681008338928,0.2530863285064697,296.2119526863098,True
26,0.8673175965665236,5.6818237,9.963321,True,False,0.8478720188140869,0.25464001297950745,295.86761474609375,True
27,0.9006759656652361,5.669184,9.974526,True,False,0.8481094241142273,0.25363966822624207,295.82718086242676,True
28,0.9340343347639485,5.6404176,9.879101,True,False,0.8489806056022644,0.25314921140670776,295.83402585983276,True
29,0.967392703862661,5.6331162,9.745297,True,False,0.847129762172699,0.24963881075382233,295.8826599121094,True
30,1.0007510729613733,5.5573535,9.698399,True,False,0.8503345251083374,0.25131621956825256,295.9738712310791,True
31,1.0341094420600858,5.494796,9.662085,True,False,0.8520790338516235,0.25258761644363403,295.8952989578247,True
32,1.0674678111587983,5.4128714,9.636168,True,False,0.8542977571487427,0.2550755739212036,295.86786365509033,True
33,1.1008261802575108,5.3843412,9.642796,True,False,0.8560256958007812,0.2576100826263428,295.48345136642456,True
34,1.1341845493562233,5.3665147,9.650989,True,False,0.8568774461746216,0.25832125544548035,295.22139167785645,True
35,1.1675429184549357,5.340086,9.666478,True,False,0.8591595888137817,0.26058751344680786,295.011990070343,True
36,1.200901287553648,5.306737,9.696593,True,False,0.8609496355056763,0.26223286986351013,294.67108154296875,True
37,1.2342596566523605,5.2967577,9.708286,True,False,0.8633730411529541,0.2643078863620758,294.7547287940979,True
38,1.267618025751073,5.2939825,9.782491,True,False,0.8664567470550537,0.2674737870693207,294.75616693496704,True
39,1.3009763948497854,5.290761,9.837292,True,False,0.8697207570075989,0.27148836851119995,294.695903301239,True
40,1.334334763948498,5.3095794,9.8869,True,False,0.8704454898834229,0.2712048292160034,294.63693952560425,True
