frame_idx,time_sec,bilateral_leg_straddle_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,37.31496,True,True,0.9943291544914246,0.9922635555267334,269.3581428527832,False
1,0.03335643212508884,37.250458,True,True,0.9945576786994934,0.9925298094749451,270.40754318237305,False
2,0.06671286425017768,36.981003,True,True,0.9947541356086731,0.9928364753723145,271.1465401649475,False
3,0.10006929637526653,36.574173,True,True,0.9948425889015198,0.993145763874054,271.9459390640259,False
4,0.13342572850035536,36.479675,True,True,0.9947476387023926,0.993421196937561,272.0802254676819,False
5,0.1667821606254442,36.398544,True,True,0.994667649269104,0.9936448931694031,272.45299434661865,False
6,0.20013859275053306,36.620102,True,True,0.9946456551551819,0.9938905239105225,272.32086515426636,False
7,0.2334950248756219,36.64048,True,True,0.9943550825119019,0.9940258860588074,272.1592540740967,False
8,0.2668514570007107,36.693665,True,True,0.9942337870597839,0.9942166805267334,271.6472897529602,False
9,0.3002078891257996,36.95201,True,True,0.9942720532417297,0.9944804310798645,270.7962007522583,False
10,0.3335643212508884,37.011803,True,True,0.9943974614143372,0.9947588443756104,270.75034618377686,False
11,0.36692075337597724,36.912476,True,True,0.9945290684700012,0.9950146079063416,271.2860951423645,False
12,0.4002771855010661,37.09173,True,True,0.9946041703224182,0.9952550530433655,271.496533870697,False
13,0.43363361762615493,37.615715,True,True,0.9946515560150146,0.9955320954322815,272.24034309387207,False
14,0.4669900497512438,38.253242,True,True,0.9946905374526978,0.9957941174507141,273.10766649246216,False
15,0.5003464818763326,39.801476,True,True,0.9947275519371033,0.9960137009620667,274.1223855018616,False
16,0.5337029140014214,41.115654,True,True,0.9947870373725891,0.9961987733840942,274.31085109710693,False
17,0.5670593461265103,42.733856,True,True,0.994906485080719,0.9964043498039246,274.3586139678955,False
18,0.6004157782515992,44.547577,True,True,0.9950538277626038,0.9965999126434326,274.25338077545166,False
19,0.633772210376688,45.592735,True,True,0.9951557517051697,0.9967666268348694,274.2688684463501,False
20,0.6671286425017768,46.17843,True,True,0.9952700138092041,0.9969307780265808,274.3853440284729,False
21,0.7004850746268657,46.678665,True,True,0.9954083561897278,0.9970993399620056,274.34449529647827,False
22,0.7338415067519545,47.287743,True,True,0.9955944418907166,0.9972623586654663,274.37007761001587,False
23,0.7671979388770434,47.77382,True,True,0.995694100856781,0.9973618388175964,274.675724029541,False
24,0.8005543710021322,48.34838,True,True,0.995840311050415,0.9974554181098938,274.5118727684021,False
25,0.833910803127221,48.924126,True,True,0.9959620833396912,0.9975309371948242,274.10982942581177,False
26,0.8672672352523099,48.962433,True,True,0.9960665702819824,0.9975618124008179,273.80769538879395,False
27,0.9006236673773987,48.75412,True,True,0.9961490035057068,0.9975853562355042,273.4655976295471,False
28,0.9339800995024876,48.469963,True,True,0.9962190389633179,0.9975884556770325,273.2300052642822,False
29,0.9673365316275764,48.471153,True,True,0.9962978959083557,0.9975942373275757,272.90712881088257,False
30,1.0006929637526651,48.430313,True,True,0.9962343573570251,0.9974743127822876,272.26743268966675,False
31,1.0340493958777541,49.026993,True,True,0.9962002635002136,0.9973766207695007,271.69520473480225,False
32,1.067405828002843,49.782364,True,True,0.9962581396102905,0.9973479509353638,271.6213893890381,False
33,1.1007622601279319,50.970085,True,True,0.9963974952697754,0.9973326921463013,271.0613579750061,False
34,1.1341186922530206,51.929245,True,True,0.9965694546699524,0.9973341822624207,270.51886081695557,False
35,1.1674751243781094,52.862503,True,True,0.9967421889305115,0.9973042607307434,270.12752056121826,False
36,1.2008315565031984,53.56264,True,True,0.9968948364257812,0.9972026944160461,269.7187428474426,False
37,1.2341879886282872,54.038815,True,True,0.9970191121101379,0.9970371127128601,269.3966131210327,False
38,1.267544420753376,54.331387,True,True,0.9971136450767517,0.9968629479408264,268.8484878540039,False
