frame_idx,time_sec,bilateral_leg_straddle_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,33.91265,False,False,0.7842932939529419,0.7394348382949829,53.03426742553711,False
1,0.033412135539795114,23.082819,False,False,0.71656334400177,0.6911699771881104,75.05178451538086,False
2,0.06682427107959023,135.3521,False,False,0.6510300040245056,0.6396026611328125,82.23023414611816,False
3,0.10023640661938533,85.869606,False,False,0.588337779045105,0.5784367918968201,86.03259086608887,False
4,0.13364854215918046,89.45523,False,False,0.5396830439567566,0.5283471941947937,85.79795837402344,False
5,0.16706067769897556,88.09207,False,False,0.48783156275749207,0.4778077304363251,83.6671257019043,False
6,0.20047281323877067,92.70734,False,False,0.4412737190723419,0.43268629908561707,82.98995018005371,False
7,0.2338849487785658,84.70221,False,False,0.398213654756546,0.390941321849823,84.44337844848633,False
8,0.2672970843183609,89.13729,False,False,0.360551118850708,0.35466188192367554,86.17303848266602,False
9,0.300709219858156,79.62952,False,False,0.3260403871536255,0.32128286361694336,84.22405242919922,False
10,0.3341213553979511,69.494026,False,False,0.29475608468055725,0.29129162430763245,84.54540252685547,False
11,0.36753349093774623,71.28996,False,False,0.2667166292667389,0.2646227180957794,84.94434356689453,False
12,0.40094562647754134,72.31227,False,False,0.24158072471618652,0.24082143604755402,84.6932601928711,False
13,0.4343577620173365,75.27382,False,False,0.21940292418003082,0.2200319916009903,85.68443298339844,False
14,0.4677698975571316,81.29498,False,False,0.19980879127979279,0.2018112689256668,86.00455284118652,False
15,0.5011820330969267,86.54981,False,False,0.18332676589488983,0.18666958808898926,85.71819305419922,False
16,0.5345941686367218,86.08255,False,False,0.16765710711479187,0.17197835445404053,85.51108360290527,False
17,0.5680063041765169,84.020325,False,False,0.153653085231781,0.1588008999824524,84.19381141662598,False
18,0.601418439716312,81.50214,False,False,0.1416420340538025,0.14755775034427643,82.98771858215332,False
19,0.6348305752561072,73.243195,False,False,0.13011206686496735,0.13608598709106445,83.00697326660156,False
20,0.6682427107959023,66.06541,False,False,0.12057161331176758,0.12679634988307953,83.11394691467285,False
