frame_idx,time_sec,left_knee_flexion_deg,right_knee_flexion_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,87.191925,0.64258355,True,True,0.953883171081543,0.9639919996261597,199.51210498809814,False
1,0.03341333333333334,87.726074,0.8833313,True,True,0.9516760110855103,0.9612711071968079,199.24079418182373,False
2,0.06682666666666667,88.00873,1.0516535,True,True,0.9499061703681946,0.9588443040847778,199.16317462921143,False
3,0.10024,88.01465,1.1072611,True,True,0.9487097859382629,0.9565075635910034,199.15241718292236,False
4,0.13365333333333335,87.9317,1.1498138,True,True,0.9477572441101074,0.9541949033737183,199.11242008209229,False
5,0.16706666666666667,87.86301,1.2150589,True,True,0.9468734860420227,0.9522713422775269,199.23080921173096,False
6,0.20048,87.69464,1.459283,True,True,0.9459282159805298,0.9497799873352051,199.24077987670898,False
7,0.23389333333333334,87.58252,1.8032031,True,True,0.9449580907821655,0.9477754235267639,199.24030780792236,False
8,0.2673066666666667,87.528595,1.8351234,True,True,0.9441351294517517,0.9461928606033325,199.30253505706787,False
9,0.30072,87.48328,1.9339849,True,True,0.9433759450912476,0.9446420073509216,199.3172836303711,False
10,0.33413333333333334,87.46048,2.055789,True,True,0.9425507187843323,0.9436512589454651,199.3663787841797,False
11,0.3675466666666667,87.428925,2.17356,True,True,0.9417759776115417,0.9424343705177307,199.3730592727661,False
12,0.40096,87.433685,2.1733334,True,True,0.9412580132484436,0.9417332410812378,199.37610626220703,False
13,0.43437333333333333,87.45044,2.208458,True,True,0.940040647983551,0.941072404384613,199.38458919525146,False
14,0.4677866666666667,87.48535,2.240222,True,True,0.938579261302948,0.9405475854873657,199.34753894805908,False
15,0.5012,87.608154,2.2767024,True,True,0.937949538230896,0.9403300285339355,199.27340984344482,False
16,0.5346133333333334,87.75729,2.367944,True,True,0.9374229311943054,0.9399394392967224,199.06755924224854,False
17,0.5680266666666667,87.883026,2.444425,True,True,0.9367493987083435,0.9395257234573364,198.67484092712402,False
18,0.60144,87.946686,2.597542,True,True,0.9367009997367859,0.93953937292099,198.3328628540039,False
19,0.6348533333333334,87.94745,2.6145067,True,True,0.9372085332870483,0.9399948716163635,197.92067527770996,False
20,0.6682666666666667,87.89526,2.6393292,True,True,0.9378739595413208,0.9400432705879211,197.6295518875122,False
21,0.70168,87.835266,2.6198404,True,True,0.9382805228233337,0.9400759339332581,197.5125217437744,False
22,0.7350933333333334,87.789764,2.620846,True,True,0.938657820224762,0.9399793148040771,197.43513107299805,False
23,0.7685066666666667,87.74994,2.6365783,True,True,0.9389092922210693,0.9401100277900696,197.39274501800537,False
24,0.80192,87.66693,2.6661913,True,True,0.939024806022644,0.939977765083313,197.30674266815186,False
25,0.8353333333333334,87.65057,2.7177978,True,True,0.9390835165977478,0.9401028156280518,197.108473777771,False
26,0.8687466666666667,87.62076,2.7506523,True,True,0.9391216039657593,0.9399973750114441,196.978440284729,False
27,0.9021600000000001,87.59375,2.7659426,True,True,0.9387086033821106,0.9397526383399963,196.9965648651123,False
28,0.9355733333333334,87.54199,2.7321112,True,True,0.9388137459754944,0.9393802285194397,196.92709922790527,False
29,0.9689866666666667,87.57593,2.649853,True,True,0.9391456842422485,0.9382659196853638,196.89170837402344,False
30,1.0024,87.45474,2.6169538,True,True,0.9399434924125671,0.9378463625907898,196.87249660491943,False
31,1.0358133333333333,87.399445,2.321919,True,True,0.9412153363227844,0.9381259083747864,196.9288444519043,False
32,1.0692266666666668,87.233154,1.7427287,True,True,0.9427539706230164,0.9388875365257263,197.16763973236084,False
33,1.10264,87.1709,0.7467876,True,True,0.9441571831703186,0.9395290613174438,197.39590644836426,False
34,1.1360533333333334,87.08035,1.0515747,True,True,0.9453780651092529,0.9405900835990906,197.50096321105957,False
35,1.1694666666666667,87.0697,2.3178406,True,True,0.9459860324859619,0.9415603876113892,197.49670028686523,False
36,1.20288,87.065796,3.0942078,True,True,0.9455772042274475,0.9422969222068787,197.60747909545898,False
37,1.2362933333333335,87.079895,4.015991,True,True,0.9453341364860535,0.9428701400756836,197.94001579284668,False
38,1.2697066666666668,87.06662,4.02829,True,True,0.9448426365852356,0.9430897235870361,203.43034744262695,False
39,1.30312,87.07028,3.9540405,True,True,0.9449906349182129,0.9433071613311768,200.84186553955078,False
40,1.3365333333333334,87.04822,3.8799133,True,True,0.9447240233421326,0.9432218670845032,200.2819061279297,False
41,1.3699466666666666,87.01892,3.8114014,True,True,0.9446043372154236,0.9435331225395203,200.54779529571533,False
42,1.40336,87.02194,3.8606567,True,True,0.9449118375778198,0.9435848593711853,200.80727577209473,False
43,1.4367733333333335,87.1369,3.9059448,True,True,0.9453800320625305,0.94354647397995,201.08360767364502,False
44,1.4701866666666668,87.268555,3.9108276,True,True,0.9461665153503418,0.9440719485282898,201.22658729553223,False
45,1.5036,87.44824,3.6907349,True,True,0.9458306431770325,0.9438920617103577,201.4120101928711,False
46,1.5370133333333333,87.436005,3.2971497,True,True,0.9457477927207947,0.94344562292099,201.51813983917236,False
47,1.5704266666666666,87.274994,3.150055,True,True,0.9461978077888489,0.9427609443664551,201.78324222564697,False
48,1.60384,87.01608,3.0342712,True,True,0.9469200372695923,0.9423640370368958,202.04476833343506,False
49,1.6372533333333334,86.82843,2.9815369,True,True,0.9477211833000183,0.9421049356460571,202.4839210510254,False
50,1.6706666666666667,86.651306,2.7335205,True,True,0.9480783343315125,0.941226601600647,203.048357963562,False
51,1.70408,86.47711,2.3216248,True,True,0.948110044002533,0.9401485919952393,203.23718547821045,False
52,1.7374933333333333,86.37714,1.9238892,True,True,0.9473423957824707,0.9386661052703857,203.279070854187,False
53,1.7709066666666666,86.349976,1.6958008,True,True,0.9461582899093628,0.9368141293525696,203.3598518371582,False
54,1.8043200000000001,86.25708,1.4558105,True,True,0.9450294375419617,0.9344924688339233,203.53295803070068,False
55,1.8377333333333334,86.19864,1.3010559,True,True,0.9445565342903137,0.9332246780395508,206.10637664794922,False
56,1.8711466666666667,86.15073,1.1812744,True,True,0.9437034130096436,0.9315215349197388,205.69177150726318,False
57,1.90456,86.21188,1.1468201,True,True,0.9424837827682495,0.9296716451644897,206.9967269897461,False
58,1.9379733333333333,86.26428,1.1330261,True,True,0.9415380358695984,0.9284157752990723,206.59049034118652,False
59,1.9713866666666666,86.288086,1.1460266,True,True,0.9404861927032471,0.9270666837692261,205.82985877990723,False
60,2.0048,86.29001,1.1303711,True,True,0.9392634034156799,0.9255666732788086,205.32726287841797,False
61,2.038213333333333,86.2688,1.1138,True,True,0.9386679530143738,0.9244166612625122,204.7628402709961,False
62,2.0716266666666665,86.27304,1.1030884,True,True,0.9376506805419922,0.9230273365974426,204.4352674484253,False
63,2.1050400000000002,86.26462,1.0538025,True,True,0.9370045065879822,0.9220227599143982,204.09088611602783,False
64,2.1384533333333335,86.24579,1.0453186,True,True,0.9366335868835449,0.9212901592254639,203.74104022979736,False
65,2.171866666666667,86.19049,1.0350342,True,True,0.9361420273780823,0.9208703637123108,203.11562061309814,False
66,2.20528,86.069855,1.0482483,True,True,0.9362261891365051,0.9210307002067566,202.6721477508545,False
67,2.2386933333333334,85.99814,1.0444031,True,True,0.9366964101791382,0.9215633869171143,202.38069534301758,False
68,2.2721066666666667,85.93219,1.0264587,True,True,0.9378222823143005,0.9224820137023926,201.9448757171631,False
69,2.30552,85.792786,1.0182495,True,True,0.9386657476425171,0.9232456088066101,203.19462776184082,False
70,2.3389333333333333,85.70343,0.9013977,True,True,0.9387643337249756,0.9235389828681946,202.2843074798584,False
