frame_idx,time_sec,left_knee_flexion_deg,right_knee_flexion_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,90.12741,4.060211,True,True,0.9544894695281982,0.9814303517341614,203.95384311676025,False
1,0.03337099811676083,90.147,3.5483093,True,True,0.9523162841796875,0.979644238948822,203.39837551116943,False
2,0.06674199623352166,90.19,3.1591187,True,True,0.9513691067695618,0.9782140851020813,203.24649810791016,False
3,0.1001129943502825,90.124054,2.6565552,True,True,0.9513280987739563,0.9769071340560913,203.26310634613037,False
4,0.13348399246704332,90.00076,2.4818726,True,True,0.9509779810905457,0.9755803942680359,203.88781070709229,False
5,0.16685499058380415,89.97803,2.3911438,True,True,0.9514374732971191,0.974735677242279,205.0920581817627,False
6,0.200225988700565,89.920135,2.3471375,True,True,0.9517199397087097,0.9736526012420654,205.63769817352295,False
7,0.2335969868173258,89.898926,2.3572388,True,True,0.9523835182189941,0.9730103015899658,205.42346477508545,False
8,0.26696798493408663,89.88928,2.356781,True,True,0.9522149562835693,0.9720250964164734,205.29444694519043,False
9,0.30033898305084744,89.88721,2.3912964,True,True,0.9520399570465088,0.9708070158958435,205.2663516998291,False
10,0.3337099811676083,89.88373,2.5401306,True,True,0.9519613981246948,0.9698774218559265,205.36077976226807,False
11,0.3670809792843691,89.89087,2.6811218,True,True,0.9517213702201843,0.9691746830940247,205.52258491516113,False
12,0.40045197740113,89.88583,2.8068237,True,True,0.9513387680053711,0.9683952927589417,205.5236577987671,False
13,0.4338229755178908,89.88342,2.9163513,True,True,0.9504645466804504,0.9673721790313721,205.4425048828125,False
14,0.4671939736346516,89.8418,2.9868774,True,True,0.9499069452285767,0.9662752747535706,202.4657678604126,False
15,0.5005649717514125,89.81781,3.0327454,True,True,0.9494296908378601,0.9651409387588501,201.29977226257324,False
16,0.5339359698681733,89.74304,3.029541,True,True,0.9490888118743896,0.9639655351638794,200.52595138549805,False
17,0.5673069679849341,89.6582,3.0869446,True,True,0.948349118232727,0.9626924991607666,199.93497848510742,False
18,0.6006779661016949,89.58746,3.0627136,True,True,0.9481474757194519,0.9615870714187622,199.59235668182373,False
19,0.6340489642184558,89.54651,3.0714722,True,True,0.9476026296615601,0.9602557420730591,199.62550163269043,False
20,0.6674199623352166,89.50781,3.0914612,True,True,0.9462355375289917,0.9588558673858643,199.75842475891113,False
21,0.7007909604519774,89.48535,3.1315918,True,True,0.9457202553749084,0.9578524827957153,199.8434543609619,False
22,0.7341619585687382,89.44263,3.178131,True,True,0.9444892406463623,0.9568866491317749,199.8197078704834,False
23,0.767532956685499,89.358826,2.993225,True,True,0.9437654614448547,0.9561133980751038,199.16318893432617,False
24,0.80090395480226,89.32794,2.6269531,True,True,0.9430596828460693,0.9553601145744324,198.30076217651367,False
25,0.8342749529190208,89.30289,2.3685608,True,True,0.9429858326911926,0.9547103643417358,197.99860954284668,False
26,0.8676459510357816,89.24432,1.8189697,True,True,0.9430397748947144,0.9541558027267456,197.83594608306885,False
27,0.9010169491525424,89.22391,0.4140625,True,True,0.9442511200904846,0.9534412026405334,197.40458965301514,False
28,0.9343879472693032,89.26062,0.69568825,True,True,0.9459671974182129,0.9533447623252869,196.89034938812256,False
29,0.9677589453860641,89.200836,1.657966,True,True,0.9476798176765442,0.9525209665298462,196.16360664367676,False
30,1.001129943502825,89.12286,2.9077623,True,True,0.9492639899253845,0.9518036246299744,196.14907264709473,False
31,1.0345009416195858,89.082275,5.0521107,True,True,0.9507652521133423,0.9506258964538574,196.05989456176758,False
32,1.0678719397363465,89.06189,6.4938397,True,True,0.9519556164741516,0.9497852921485901,195.94656944274902,False
33,1.1012429378531075,89.00192,10.512296,True,True,0.9525834918022156,0.9484006762504578,195.86872100830078,False
34,1.1346139359698681,88.88779,12.814991,True,True,0.9520658850669861,0.945381224155426,195.85679054260254,False
35,1.167984934086629,88.844604,14.351384,True,True,0.9508710503578186,0.9396108388900757,195.84528923034668,False
36,1.2013559322033898,88.805084,16.838575,True,True,0.9493403434753418,0.9332783222198486,195.83627700805664,False
37,1.2347269303201507,88.76718,18.072714,True,True,0.9478411078453064,0.9270904064178467,195.6946563720703,False
38,1.2680979284369116,88.72388,21.469213,True,True,0.946897029876709,0.9216853380203247,195.26086807250977,False
39,1.3014689265536723,88.699066,24.571762,True,True,0.9459402561187744,0.9166469573974609,195.02285957336426,False
40,1.3348399246704332,88.68359,26.524202,True,True,0.9454139471054077,0.9124842286109924,194.98925685882568,False
41,1.368210922787194,88.67502,27.097725,True,True,0.9444501996040344,0.9081975817680359,195.01291751861572,False
42,1.4015819209039548,88.660706,27.856077,True,True,0.943676233291626,0.904470682144165,195.13333797454834,False
43,1.4349529190207158,88.635376,28.533686,True,True,0.9427972435951233,0.9005676507949829,195.33100605010986,False
44,1.4683239171374765,88.615234,29.43188,True,True,0.9416722059249878,0.8968271017074585,195.44716358184814,False
45,1.5016949152542374,88.594635,30.735846,True,True,0.9412423372268677,0.8927037715911865,195.59516429901123,False
46,1.535065913370998,88.57898,32.316692,True,True,0.9410611987113953,0.8886269330978394,195.72750091552734,False
47,1.568436911487759,88.56555,33.947598,True,True,0.9403894543647766,0.88433837890625,195.86431503295898,False
48,1.60180790960452,88.55994,35.143303,True,True,0.9391524791717529,0.8786603808403015,196.1512041091919,False
49,1.6351789077212806,88.54248,36.164646,True,True,0.9374641180038452,0.8714348077774048,196.44148349761963,False
50,1.6685499058380415,88.484314,37.24835,True,True,0.9360607862472534,0.8647360801696777,196.69848918914795,False
51,1.7019209039548022,88.40167,38.80389,True,True,0.934684157371521,0.8578673601150513,196.92010402679443,False
52,1.7352919020715631,88.320435,41.17687,True,True,0.9327612519264221,0.850141704082489,197.1760654449463,False
53,1.768662900188324,88.25815,41.670513,True,True,0.9305692315101624,0.8426269292831421,197.45593070983887,False
54,1.8020338983050848,88.19339,41.93194,True,True,0.9280720949172974,0.8352565169334412,197.71814346313477,False
55,1.8354048964218457,88.161285,41.87513,True,True,0.9258278608322144,0.8281704187393188,197.92945861816406,False
