frame_idx,time_sec,left_hip_abduction_deg,right_hip_abduction_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,2.844574,0.2997072,True,True,0.98435378074646,0.9834734797477722,287.623507976532,False
1,0.03346153846153846,2.8182068,0.19765118,True,True,0.9847203493118286,0.9839267730712891,285.24017572402954,False
2,0.06692307692307692,2.760498,0.113786116,True,True,0.9851866960525513,0.9845582842826843,284.48920011520386,False
3,0.10038461538461539,2.7374573,0.023397751,True,True,0.9855898022651672,0.9850507974624634,283.81338357925415,False
4,0.13384615384615384,2.762146,0.10702515,True,True,0.9859384894371033,0.9855378270149231,283.14499855041504,False
5,0.1673076923076923,2.8149414,0.20907593,True,True,0.9860960245132446,0.9858452677726746,282.4614930152893,False
6,0.20076923076923078,2.912445,0.3121338,True,True,0.9863088726997375,0.9861482381820679,282.12273359298706,False
7,0.23423076923076924,3.0339355,0.39520264,True,True,0.9863429069519043,0.9862530827522278,282.2031855583191,False
8,0.2676923076923077,3.1985168,0.49749756,True,True,0.986564576625824,0.9863328337669373,282.2579312324524,False
9,0.30115384615384616,3.3935242,0.63134766,True,True,0.9867912530899048,0.9863038063049316,283.0912971496582,False
10,0.3346153846153846,3.534027,0.7010193,True,True,0.9870006442070007,0.9862959384918213,283.950777053833,False
11,0.3680769230769231,3.6418762,0.7673645,True,True,0.9872393012046814,0.986235499382019,284.40850496292114,False
12,0.40153846153846157,3.7342224,0.83099365,True,True,0.9874853491783142,0.9862551689147949,284.4740080833435,False
13,0.435,3.791687,0.8722534,True,True,0.9876194596290588,0.9861494898796082,284.40791845321655,False
14,0.4684615384615385,3.7922363,0.8843994,True,True,0.987655758857727,0.985994815826416,284.16874408721924,False
15,0.5019230769230769,3.7988892,0.9086304,True,True,0.9876209497451782,0.9858050346374512,283.899986743927,False
16,0.5353846153846153,3.8371582,0.93603516,True,True,0.9876484870910645,0.9858676195144653,283.7095069885254,False
17,0.5688461538461539,3.9109192,0.9992676,True,True,0.9875981211662292,0.9858969449996948,283.6337971687317,False
18,0.6023076923076923,3.9353943,1.0203552,True,True,0.9876384139060974,0.9860434532165527,283.49493741989136,False
19,0.6357692307692308,3.960266,1.0392151,True,True,0.9876344203948975,0.986211895942688,283.45548391342163,False
20,0.6692307692307692,3.9953918,1.0562744,True,True,0.9875901341438293,0.9863038063049316,283.49992990493774,False
21,0.7026923076923077,4.042053,1.0787659,True,True,0.9875134229660034,0.9863760471343994,283.54634284973145,False
22,0.7361538461538462,4.060425,1.1550293,True,True,0.9876260161399841,0.9865978360176086,283.5408067703247,False
23,0.7696153846153846,4.07428,1.4214478,True,True,0.9876783490180969,0.9867091774940491,283.3527088165283,False
24,0.8030769230769231,4.108368,1.9069519,True,True,0.9878726005554199,0.9870058298110962,283.30525159835815,False
25,0.8365384615384616,4.148651,2.599121,True,True,0.9881804585456848,0.9873997569084167,282.7950096130371,False
26,0.87,4.151245,3.691803,True,True,0.988325297832489,0.9876748323440552,282.0677447319031,False
27,0.9034615384615384,4.2022705,4.9601746,True,True,0.9885361194610596,0.9881512522697449,280.5270552635193,False
28,0.936923076923077,4.2689514,6.166809,True,True,0.9888480305671692,0.9886884093284607,280.2492070198059,False
29,0.9703846153846154,4.2338257,7.2647705,True,True,0.9890260696411133,0.9891672134399414,280.33166885375977,False
30,1.0038461538461538,4.226166,8.561005,True,True,0.9889958500862122,0.9897059202194214,280.4058766365051,False
31,1.0373076923076923,4.143036,9.846558,True,True,0.9890822172164917,0.9902193546295166,280.5087161064148,False
32,1.0707692307692307,4.074707,11.061066,True,True,0.9892152547836304,0.9907334446907043,280.6014347076416,False
33,1.1042307692307691,4.026886,12.490387,True,True,0.9892420172691345,0.9912577271461487,280.6337571144104,False
34,1.1376923076923078,4.032318,13.42746,True,True,0.9893020987510681,0.9916081428527832,280.8104181289673,False
35,1.1711538461538462,4.0242004,13.879639,True,True,0.9893693923950195,0.9918983578681946,281.25043630599976,False
36,1.2046153846153846,4.016266,14.488495,True,True,0.9892697930335999,0.9920519590377808,281.4359164237976,False
37,1.238076923076923,4.0130615,15.069519,True,True,0.9890292286872864,0.9920950531959534,281.5861916542053,False
38,1.2715384615384615,4.0028687,15.714783,True,True,0.9887548089027405,0.9921425580978394,281.71209812164307,False
39,1.305,3.9424438,16.292389,True,True,0.9882177710533142,0.9920562505722046,282.0157527923584,False
40,1.3384615384615384,3.8504944,17.062286,True,True,0.987994909286499,0.9920518398284912,282.9772138595581,False
41,1.371923076923077,3.7537842,17.716827,True,True,0.9879043698310852,0.9921039342880249,283.6656403541565,False
42,1.4053846153846155,3.6780396,18.602112,True,True,0.9877398610115051,0.9921244382858276,284.46051836013794,False
43,1.4388461538461539,3.61792,19.833252,True,True,0.9877855777740479,0.9922137260437012,285.08134603500366,False
44,1.4723076923076923,3.5707397,20.602295,True,True,0.9877339601516724,0.9921796321868896,285.1268720626831,False
45,1.5057692307692307,3.5673218,21.321075,True,True,0.9876060485839844,0.9921060800552368,284.68794107437134,False
46,1.5392307692307692,3.5477905,22.242096,True,True,0.9876887202262878,0.9921703338623047,284.4455122947693,False
47,1.5726923076923076,3.5524597,23.414856,True,True,0.9876387715339661,0.992215096950531,284.17558193206787,False
48,1.6061538461538463,3.538391,24.271759,True,True,0.9875162243843079,0.9921971559524536,284.1372084617615,False
49,1.6396153846153847,3.488617,24.995544,True,True,0.9873820543289185,0.9920602440834045,284.24657106399536,False
50,1.6730769230769231,3.4544678,26.248993,True,True,0.9873608350753784,0.9920636415481567,284.2955446243286,False
51,1.7065384615384616,3.4035034,27.168365,True,True,0.9872060418128967,0.9921118021011353,284.3512773513794,False
52,1.74,3.3619385,28.046082,True,True,0.986976146697998,0.9922271370887756,284.3772268295288,False
53,1.7734615384615384,3.3044434,28.856934,True,True,0.9868277311325073,0.9923729300498962,284.5994210243225,False
54,1.8069230769230769,3.2149353,29.990234,True,True,0.9865805506706238,0.9925224184989929,285.0642657279968,False
55,1.8403846153846153,3.1301575,31.163757,True,True,0.9864371418952942,0.9927173256874084,285.49952030181885,False
56,1.873846153846154,3.0636292,32.102386,True,True,0.9864681959152222,0.9929577112197876,285.6217646598816,False
57,1.9073076923076924,2.915802,33.117035,True,True,0.9866282343864441,0.9932110905647278,285.71765184402466,False
58,1.9407692307692308,2.785675,34.336,True,True,0.986901044845581,0.9934597015380859,286.20137214660645,False
59,1.9742307692307692,2.6681519,35.4093,True,True,0.9872325658798218,0.9936728477478027,286.3833546638489,False
60,2.0076923076923077,2.5947266,36.360443,True,True,0.9874850511550903,0.9937728643417358,286.16511583328247,False
61,2.041153846153846,2.4951172,37.26773,True,True,0.9876998662948608,0.9937359094619751,285.7070302963257,False
62,2.0746153846153845,2.4319763,38.22873,True,True,0.9877771139144897,0.993545651435852,285.08873462677,False
63,2.108076923076923,2.3878174,39.09613,True,True,0.9877835512161255,0.9933801889419556,284.75549697875977,False
64,2.1415384615384614,2.359192,39.59671,True,True,0.9876872897148132,0.9931942224502563,284.6040415763855,False
65,2.175,2.3301086,39.67227,True,True,0.9875511527061462,0.9930325746536255,284.5398688316345,False
66,2.2084615384615383,2.318573,39.568604,True,True,0.9873810410499573,0.9929892420768738,284.5760107040405,False
67,2.241923076923077,2.3224487,39.107574,True,True,0.9871309399604797,0.9929187893867493,284.56592559814453,False
68,2.2753846153846156,2.3252563,38.643402,True,True,0.9871601462364197,0.9928967356681824,284.6393036842346,False
69,2.308846153846154,2.338501,38.186676,True,True,0.9871334433555603,0.9929395914077759,284.5874333381653,False
70,2.3423076923076924,2.362152,36.54062,True,True,0.9872694611549377,0.9931536912918091,284.4448757171631,False
71,2.375769230769231,2.4255066,34.23874,True,True,0.9871686100959778,0.9932560920715332,284.2605686187744,False
72,2.4092307692307693,2.4710083,31.269104,True,True,0.9869418740272522,0.9930784106254578,284.1105580329895,False
73,2.4426923076923077,2.494629,28.472168,True,True,0.9871518015861511,0.9929235577583313,284.10821199417114,False
74,2.476153846153846,2.5510864,25.275208,True,True,0.9875068068504333,0.9930210709571838,284.2127251625061,False
75,2.5096153846153846,2.6216125,22.075348,True,True,0.9880167245864868,0.9932001829147339,284.5708394050598,False
76,2.543076923076923,2.6871948,18.44046,True,True,0.9886217713356018,0.9933260679244995,285.23632764816284,False
77,2.5765384615384614,2.7890625,15.715973,True,True,0.9891744256019592,0.9935999512672424,286.34455919265747,False
78,2.61,2.8440552,13.208374,True,True,0.9895714521408081,0.993747889995575,287.25443601608276,False
79,2.6434615384615383,2.9328918,10.257965,True,True,0.9896694421768188,0.9937514662742615,288.012535572052,False
80,2.6769230769230767,2.953003,8.154297,True,True,0.9895446300506592,0.9934317469596863,287.9476547241211,False
81,2.710384615384615,2.9817505,5.624298,True,True,0.9897139072418213,0.9931850433349609,287.57328271865845,False
82,2.743846153846154,2.9854736,3.9082642,True,True,0.9900861978530884,0.9928568601608276,287.55067348480225,False
83,2.7773076923076925,2.9769897,2.942505,True,True,0.9902303814888,0.9922318458557129,287.51574754714966,False
84,2.810769230769231,2.9512024,2.031952,True,True,0.9904249906539917,0.9915719628334045,287.54072427749634,False
85,2.8442307692307693,2.928833,1.505188,True,True,0.9905558824539185,0.9908787608146667,287.08717346191406,False
86,2.8776923076923078,2.875946,1.1722717,True,True,0.9905921220779419,0.9901376366615295,287.15306997299194,False
87,2.911153846153846,2.8840027,1.0183716,True,True,0.9903895258903503,0.9890382289886475,287.0829248428345,False
88,2.9446153846153846,2.823639,1.1665344,True,True,0.9901622533798218,0.9879215955734253,287.4578619003296,False
89,2.978076923076923,2.7612915,1.1080322,True,True,0.9902284145355225,0.9872868061065674,286.61152839660645,False
90,3.0115384615384615,2.693756,0.69454956,True,True,0.9902103543281555,0.9866546988487244,286.0661244392395,False
91,3.045,2.5391846,0.32824707,True,True,0.9901291131973267,0.9859452843666077,285.9823751449585,False
92,3.0784615384615384,2.3648987,0.09069824,True,True,0.990149199962616,0.9854966998100281,285.97744703292847,False
