frame_idx,time_sec,left_hip_abduction_deg,right_hip_abduction_deg,left_knee_valid,right_knee_valid,left_knee_vis_min,right_knee_vis_min,subject_bbox_h_px,is_clipped
0,0.0,0.26745605,0.47179055,True,True,0.983281672000885,0.9890636801719666,286.875958442688,False
1,0.03342560553633218,0.18954468,0.75381625,True,True,0.9836243391036987,0.988397479057312,287.41766452789307,False
2,0.06685121107266435,0.0016511395,0.88448375,True,True,0.98398756980896,0.9880179762840271,287.66120195388794,False
3,0.10027681660899654,0.12335524,0.895889,True,True,0.9843221306800842,0.987704336643219,287.6852345466614,False
4,0.1337024221453287,0.16885565,0.95577383,True,True,0.9846616387367249,0.9873453974723816,287.7959632873535,False
5,0.1671280276816609,0.19772239,0.9498849,True,True,0.985084593296051,0.987114667892456,288.3272981643677,False
6,0.20055363321799308,0.20379345,0.9068386,True,True,0.98548424243927,0.9870049357414246,288.4529972076416,False
7,0.23397923875432525,0.20287864,0.86140364,True,True,0.9858438372612,0.9869628548622131,288.52417945861816,False
8,0.2674048442906574,0.20714338,0.80637646,True,True,0.9859361052513123,0.9867434501647949,288.6110186576843,False
9,0.30083044982698964,0.21245736,0.76734084,True,True,0.9857994318008423,0.9864802360534668,288.6789107322693,False
10,0.3342560553633218,0.23683779,0.7423176,True,True,0.9856758117675781,0.9862371683120728,288.6839175224304,False
11,0.367681660899654,0.23633875,0.73250693,True,True,0.9855749011039734,0.9860443472862244,288.7142586708069,False
12,0.40110726643598615,0.23465711,0.72474986,True,True,0.9855384826660156,0.9859284162521362,288.7251305580139,False
13,0.4345328719723183,0.23709346,0.7395532,True,True,0.9855307936668396,0.9858353734016418,288.7158250808716,False
14,0.4679584775086505,0.2679617,0.75441116,True,True,0.985444962978363,0.9857163429260254,288.65264654159546,False
15,0.5013840830449827,0.30238658,0.770052,True,True,0.9853954911231995,0.9856321811676025,288.59039068222046,False
16,0.5348096885813148,0.28438807,0.6476904,True,True,0.9855414032936096,0.9857447147369385,288.5240364074707,False
17,0.5682352941176471,0.2628105,0.6469728,True,True,0.9856750965118408,0.9855995774269104,288.4074568748474,False
18,0.6016608996539793,0.21082875,0.6008799,True,True,0.9856987595558167,0.985477864742279,288.17569971084595,False
19,0.6350865051903114,0.02658081,0.5845613,True,True,0.9854674339294434,0.9851412177085876,288.01085472106934,False
20,0.6685121107266436,0.15270996,0.5491791,True,True,0.9850276112556458,0.9846343398094177,287.72958040237427,False
21,0.7019377162629757,0.17611694,0.5436039,True,True,0.9848386645317078,0.9842841029167175,287.6183295249939,False
22,0.735363321799308,0.19094849,0.62065977,True,True,0.9849414229393005,0.9843253493309021,287.64516592025757,False
23,0.7687889273356401,0.22531128,0.69164705,True,True,0.9850584864616394,0.9843052625656128,287.7364683151245,False
24,0.8022145328719723,0.30142212,0.6300377,True,True,0.9852341413497925,0.9843295216560364,287.9557728767395,False
25,0.8356401384083045,0.43777466,0.43098888,True,True,0.9854341745376587,0.9844692945480347,288.0841827392578,False
26,0.8690657439446366,0.60650635,0.18905647,True,True,0.9856778383255005,0.9847626090049744,288.23139667510986,False
27,0.9024913494809689,0.75009155,0.008473049,True,True,0.9857685565948486,0.984874427318573,288.3371615409851,False
28,0.935916955017301,0.88046265,0.15023804,True,True,0.9857169389724731,0.9848230481147766,288.4044671058655,False
29,0.9693425605536332,1.007019,0.3175354,True,True,0.9858118891716003,0.9849025011062622,288.5058546066284,False
30,1.0027681660899654,1.125,0.46826172,True,True,0.985992968082428,0.9850870370864868,288.66090059280396,False
31,1.0361937716262977,1.2246704,0.57144165,True,True,0.9862631559371948,0.9854291081428528,288.83681058883667,False
32,1.0696193771626297,1.3293152,0.6889343,True,True,0.9864818453788757,0.9857423901557922,288.99476766586304,False
33,1.103044982698962,1.4202576,0.81707764,True,True,0.9866304993629456,0.9860085844993591,289.06803131103516,False
34,1.1364705882352941,1.5434875,0.96395874,True,True,0.9866141676902771,0.9861170649528503,289.1343426704407,False
35,1.1698961937716263,1.6894226,1.1191406,True,True,0.986579418182373,0.9862507581710815,289.21716928482056,False
36,1.2033217993079586,1.8341064,1.2389221,True,True,0.9866058826446533,0.9864595532417297,289.2212176322937,False
37,1.2367474048442906,1.9958496,1.3717651,True,True,0.9866054058074951,0.9865733981132507,289.2350435256958,False
38,1.2701730103806228,2.090271,1.4494629,True,True,0.9865918159484863,0.9867889285087585,289.23648834228516,False
39,1.303598615916955,2.2182007,1.5174255,True,True,0.9866414666175842,0.9870460033416748,289.23290491104126,False
40,1.3370242214532873,2.299347,1.5588379,True,True,0.9866076707839966,0.9871823787689209,289.24163818359375,False
41,1.3704498269896195,2.3865662,1.5878906,True,True,0.9865813255310059,0.9873237609863281,289.2722725868225,False
42,1.4038754325259515,2.476715,1.6562195,True,True,0.9864315986633301,0.9872432947158813,289.32603120803833,False
43,1.4373010380622837,2.5361633,1.6709595,True,True,0.986443817615509,0.9870880246162415,289.32785511016846,False
44,1.470726643598616,2.612152,1.6282043,True,True,0.9867252707481384,0.9872785806655884,289.25369024276733,False
45,1.5041522491349482,2.73349,1.5882568,True,True,0.9869046211242676,0.9873900413513184,289.2576742172241,False
46,1.5375778546712802,2.9513245,1.6242371,True,True,0.9869763255119324,0.9872280955314636,289.21539545059204,False
47,1.5710034602076124,3.1685486,1.7374268,True,True,0.9870108366012573,0.9870024919509888,289.11545991897583,False
48,1.6044290657439446,3.3458557,1.9134827,True,True,0.987157940864563,0.9868660569190979,288.96634340286255,False
49,1.6378546712802768,3.494751,2.0742798,True,True,0.9873467683792114,0.9868181943893433,288.91035318374634,False
50,1.671280276816609,3.652588,2.5561523,True,True,0.9874445199966431,0.9867686033248901,288.7430191040039,False
51,1.704705882352941,3.695282,3.3760376,True,True,0.9874500632286072,0.9868559241294861,288.37027072906494,False
52,1.7381314878892733,3.6973267,4.281189,True,True,0.9877739548683167,0.9870896339416504,288.44340562820435,False
53,1.7715570934256055,3.7414856,5.5101624,True,True,0.9878939986228943,0.9874253869056702,288.4681034088135,False
54,1.8049826989619377,3.8244934,6.441437,True,True,0.9880629181861877,0.9878444075584412,288.4924793243408,False
55,1.83840830449827,3.8768616,7.543762,True,True,0.988276481628418,0.9885039925575256,288.5435628890991,False
56,1.871833910034602,3.9081726,8.025513,True,True,0.9878195524215698,0.9885920882225037,288.142147064209,False
57,1.9052595155709342,3.9220276,9.83963,True,True,0.9874495267868042,0.988807737827301,288.07072162628174,False
58,1.9386851211072664,3.8947449,10.899414,True,True,0.9875760674476624,0.9893007278442383,288.09083461761475,False
59,1.9721107266435987,3.877472,11.734253,True,True,0.9878007173538208,0.9899390935897827,288.1767225265503,False
60,2.005536332179931,3.854248,12.525543,True,True,0.9879851937294006,0.9904980659484863,288.46362590789795,False
61,2.038961937716263,3.815216,13.311401,True,True,0.9881684184074402,0.991021990776062,288.8820791244507,False
62,2.0723875432525953,3.7975159,13.862854,True,True,0.9884354472160339,0.9916237592697144,289.54020738601685,False
63,2.1058131487889273,3.7097473,14.260071,True,True,0.9886201024055481,0.9921923875808716,290.6890082359314,False
64,2.1392387543252593,3.6601562,14.526276,True,True,0.9886727929115295,0.9927131533622742,291.00873470306396,False
65,2.172664359861592,3.608368,15.021423,True,True,0.9888246059417725,0.9932108521461487,291.12252473831177,False
66,2.206089965397924,3.5812683,15.48764,True,True,0.9891183376312256,0.9937232732772827,291.3313293457031,False
67,2.2395155709342562,3.5632935,15.873535,True,True,0.9893777966499329,0.9941884875297546,291.41798973083496,False
68,2.2729411764705882,3.5585327,16.190308,True,True,0.9896538257598877,0.9946287274360657,291.4877772331238,False
69,2.3063667820069202,3.5559082,16.756012,True,True,0.9899385571479797,0.9950175881385803,291.52270317077637,False
70,2.3397923875432527,3.549286,17.159363,True,True,0.9901853799819946,0.9953455924987793,291.5586447715759,False
71,2.3732179930795847,3.5345764,17.58258,True,True,0.9903417825698853,0.9956579208374023,291.592161655426,False
72,2.406643598615917,3.5589294,17.778046,True,True,0.9904367923736572,0.9959201812744141,291.6061305999756,False
73,2.440069204152249,3.5400085,18.2583,True,True,0.9904618859291077,0.9961467385292053,291.6023540496826,False
74,2.473494809688581,3.5280151,19.144745,True,True,0.9904013276100159,0.996344268321991,291.667857170105,False
75,2.5069204152249136,3.5220337,20.19107,True,True,0.9903924465179443,0.9965404868125916,291.79388523101807,False
76,2.5403460207612456,3.5274963,20.939362,True,True,0.9903917908668518,0.9967004060745239,291.8693017959595,False
77,2.573771626297578,3.4879456,22.092896,True,True,0.9903282523155212,0.9968076348304749,291.92601442337036,False
78,2.60719723183391,3.459198,23.21048,True,True,0.9902712106704712,0.9968558549880981,291.96266412734985,False
79,2.640622837370242,3.3787537,25.106567,True,True,0.9902492761611938,0.9969197511672974,292.0041561126709,False
80,2.6740484429065745,3.2854004,25.967712,True,True,0.9902076721191406,0.9969695806503296,292.01005697250366,False
81,2.7074740484429065,3.2062073,27.307404,True,True,0.9901285767555237,0.9969664812088013,291.62858963012695,False
82,2.740899653979239,3.1178894,28.393982,True,True,0.9900075197219849,0.9968174695968628,291.3064241409302,False
83,2.774325259515571,3.0656128,29.302551,True,True,0.9901009798049927,0.996749997138977,291.0594177246094,False
84,2.807750865051903,3.0125427,30.132538,True,True,0.9901008009910583,0.996717095375061,290.9593605995178,False
85,2.8411764705882354,2.9780579,30.807556,True,True,0.9901606440544128,0.9967301487922668,290.78478813171387,False
86,2.8746020761245674,2.9296265,31.254425,True,True,0.9902552962303162,0.996786892414093,290.39936542510986,False
87,2.9080276816608994,2.8970642,31.554962,True,True,0.9902240037918091,0.9968268871307373,290.3336191177368,False
88,2.941453287197232,2.8678894,32.295624,True,True,0.9902149438858032,0.9967485666275024,290.3844738006592,False
89,2.974878892733564,2.8554382,32.711304,True,True,0.9902563691139221,0.9966802597045898,290.5165386199951,False
90,3.0083044982698963,2.8474731,33.011566,True,True,0.9901360869407654,0.9965289831161499,290.5747103691101,False
91,3.0417301038062283,2.8464966,33.422913,True,True,0.9900930523872375,0.9964122772216797,290.6161093711853,False
92,3.0751557093425603,2.8380432,33.679077,True,True,0.9901399612426758,0.9963286519050598,290.7950735092163,False
93,3.1085813148788928,2.8348083,33.95813,True,True,0.9902907609939575,0.9963444471359253,290.83688735961914,False
94,3.142006920415225,2.827179,34.20941,True,True,0.9905580282211304,0.9963569641113281,290.937602519989,False
95,3.1754325259515572,2.814087,34.44583,True,True,0.9907639026641846,0.9963471293449402,290.98607540130615,False
96,3.2088581314878892,2.8145752,34.864624,True,True,0.9909239411354065,0.9963645339012146,291.0798168182373,False
97,3.2422837370242212,2.8025513,35.49942,True,True,0.9911747574806213,0.9963621497154236,291.1401700973511,False
98,3.2757093425605537,2.7956238,36.743927,True,True,0.9913034439086914,0.9962519407272339,291.1429452896118,False
99,3.3091349480968857,2.8184204,37.182465,True,True,0.9914274215698242,0.9961488842964172,291.1047434806824,False
100,3.342560553633218,2.8710632,37.382538,True,True,0.9915459156036377,0.9960717558860779,291.0776424407959,False
101,3.37598615916955,2.9075317,37.633728,True,True,0.9915982484817505,0.9959236979484558,291.0807752609253,False
102,3.409411764705882,2.937439,37.686707,True,True,0.9916763305664062,0.9958622455596924,291.0566711425781,False
103,3.4428373702422146,2.9588623,37.71945,True,True,0.9916832447052002,0.9957743287086487,291.0659980773926,False
104,3.4762629757785466,2.9734192,37.766724,True,True,0.9916740655899048,0.9957141280174255,291.04374647140503,False
105,3.509688581314879,2.986847,37.805573,True,True,0.9915143251419067,0.9956285357475281,291.0107445716858,False
106,3.543114186851211,3.0028992,37.78766,True,True,0.9913375377655029,0.9955528974533081,290.9592390060425,False
107,3.576539792387543,3.0360107,37.76465,True,True,0.9911871552467346,0.9954870343208313,290.8263087272644,False
108,3.6099653979238755,3.0378113,37.878876,True,True,0.9910334944725037,0.9953312277793884,290.5904459953308,False
109,3.6433910034602075,3.0351868,38.13974,True,True,0.9909806847572327,0.9951945543289185,290.492742061615,False
110,3.67681660899654,3.0171509,38.846313,True,True,0.9910106062889099,0.9950518608093262,290.43075799942017,False
111,3.710242214532872,2.9427185,39.56183,True,True,0.9911133646965027,0.9949353933334351,290.3819489479065,False
112,3.743667820069204,2.8720093,39.939545,True,True,0.9912164807319641,0.9947937726974487,290.42454957962036,False
113,3.7770934256055364,2.8055115,40.403748,True,True,0.9912119507789612,0.9946178197860718,290.51799058914185,False
114,3.8105190311418684,2.7695007,41.052063,True,True,0.9912424683570862,0.9944356083869934,290.6519937515259,False
115,3.843944636678201,2.7104797,41.616333,True,True,0.9912750124931335,0.994239091873169,290.869402885437,False
116,3.877370242214533,2.6687622,42.21344,True,True,0.9913372993469238,0.9940821528434753,290.9616422653198,False
117,3.910795847750865,2.6586304,42.41281,True,True,0.9912922382354736,0.9938811659812927,291.015887260437,False
118,3.9442214532871973,2.6664124,42.535522,True,True,0.9912007451057434,0.993684709072113,291.0592031478882,False
119,3.9776470588235293,2.6620483,42.533813,True,True,0.991142213344574,0.9935684204101562,291.08189821243286,False
120,4.011072664359862,2.634613,42.4274,True,True,0.9911130666732788,0.9934206008911133,291.088707447052,False
121,4.044498269896193,2.610138,42.299347,True,True,0.990958034992218,0.9932277202606201,291.097469329834,False
122,4.077923875432526,2.6088562,42.210815,True,True,0.9908653497695923,0.9929952025413513,291.160683631897,False
123,4.111349480968858,2.6107483,42.144775,True,True,0.9907058477401733,0.9928709864616394,291.2474584579468,False
124,4.144775086505191,2.6152039,41.764313,True,True,0.9905790686607361,0.992775559425354,291.3530731201172,False
125,4.178200692041522,2.6182861,41.59308,True,True,0.9905605912208557,0.9927157163619995,291.3649392127991,False
126,4.211626297577855,2.6271667,41.178497,True,True,0.9905415177345276,0.992644190788269,291.36523962020874,False
127,4.245051903114187,2.6395264,40.555298,True,True,0.9905224442481995,0.9926041960716248,291.39039516448975,False
128,4.278477508650519,2.6583557,39.75467,True,True,0.9903376698493958,0.9926055669784546,291.3776206970215,False
129,4.311903114186851,2.6793213,39.31427,True,True,0.9902428388595581,0.9926267266273499,291.3870406150818,False
130,4.345328719723184,2.6903381,39.1817,True,True,0.9901634454727173,0.9926059246063232,291.42128705978394,False
131,4.378754325259515,2.692627,39.114777,True,True,0.9900791049003601,0.9926007390022278,291.4324450492859,False
132,4.412179930795848,2.6983643,39.140015,True,True,0.9901008605957031,0.9926295280456543,291.4333462715149,False
133,4.44560553633218,2.7085571,39.121796,True,True,0.9901471734046936,0.9927173852920532,291.45285844802856,False
134,4.4790311418685125,2.7190552,39.1893,True,True,0.9902626872062683,0.9927578568458557,291.4754247665405,False
135,4.512456747404844,2.7233276,39.3927,True,True,0.9903869032859802,0.9928010702133179,291.48338556289673,False
136,4.5458823529411765,2.718628,39.766846,True,True,0.9905163049697876,0.9928103089332581,291.4961886405945,False
137,4.579307958477509,2.7167969,40.12381,True,True,0.990590512752533,0.992755651473999,291.4901375770569,False
138,4.6127335640138405,2.7170105,40.40149,True,True,0.9905989170074463,0.9926966428756714,291.4332175254822,False
139,4.646159169550173,2.7192993,40.6073,True,True,0.990642249584198,0.9926506876945496,291.3590598106384,False
140,4.679584775086505,2.7261963,40.902313,True,True,0.9906579852104187,0.9926148653030396,291.22997760772705,False
141,4.713010380622837,2.7254333,41.15451,True,True,0.990692675113678,0.9925987124443054,290.9502124786377,False
142,4.746435986159169,2.7227783,41.43927,True,True,0.9906873106956482,0.9925615191459656,290.8207154273987,False
143,4.779861591695502,2.7122192,41.829926,True,True,0.9907237887382507,0.9925848245620728,290.73890447616577,False
144,4.813287197231834,2.6752625,42.071747,True,True,0.9907570481300354,0.9925798177719116,290.74102878570557,False
145,4.846712802768166,2.635559,42.46454,True,True,0.9908779263496399,0.9926260709762573,290.7135486602783,False
146,4.880138408304498,2.600769,42.958344,True,True,0.9910082817077637,0.9926445484161377,290.68171977996826,False
147,4.913564013840831,2.5994873,43.24182,True,True,0.9911127090454102,0.9926351308822632,290.6677722930908,False
148,4.946989619377162,2.6009216,43.786407,True,True,0.9912028312683105,0.9926348924636841,290.69865703582764,False
149,4.980415224913495,2.60495,44.012604,True,True,0.9913269281387329,0.9926462769508362,290.66861629486084,False
150,5.013840830449827,2.6107483,44.09091,True,True,0.9914184212684631,0.9926848411560059,290.65348863601685,False
151,5.047266435986159,2.6207886,44.20761,True,True,0.991476833820343,0.9926853179931641,290.6662058830261,False
152,5.080692041522491,2.626831,44.217957,True,True,0.9915242195129395,0.9926824569702148,290.66246509552,False
153,5.114117647058824,2.6292114,44.308136,True,True,0.9915553331375122,0.9927396774291992,290.656099319458,False
154,5.147543252595156,2.6313477,44.266968,True,True,0.9915041327476501,0.9926968812942505,290.69822788238525,False
155,5.180968858131488,2.6329956,44.234528,True,True,0.9914930462837219,0.992698609828949,290.69554567337036,False
156,5.21439446366782,2.6388855,44.118988,True,True,0.9914860129356384,0.9927353262901306,290.71483612060547,False
157,5.247820069204153,2.641449,44.030853,True,True,0.9914602637290955,0.9927858710289001,290.72484970092773,False
158,5.281245674740484,2.6452332,44.043915,True,True,0.9914313554763794,0.9928271770477295,290.7926344871521,False
159,5.314671280276817,2.648346,44.07425,True,True,0.9914363622665405,0.9928940534591675,290.81995725631714,False
160,5.348096885813149,2.6487122,44.20349,True,True,0.9913625121116638,0.9928808808326721,290.8404564857483,False
161,5.381522491349481,2.6503906,44.493347,True,True,0.9912763833999634,0.9927952289581299,290.8237552642822,False
162,5.414948096885813,2.644928,44.738983,True,True,0.9912493824958801,0.9927876591682434,290.82894802093506,False
163,5.4483737024221455,2.6281128,45.0206,True,True,0.9913465976715088,0.9928756952285767,290.837824344635,False
164,5.481799307958478,2.5888977,45.12552,True,True,0.9914991855621338,0.9931117296218872,290.83532094955444,False
165,5.5152249134948095,2.569397,45.301056,True,True,0.9916104674339294,0.9933319091796875,290.84097146987915,False
166,5.548650519031142,2.5505066,45.475586,True,True,0.9917532205581665,0.9935426712036133,290.8319306373596,False
167,5.582076124567474,2.5437317,45.561737,True,True,0.9918213486671448,0.9936727285385132,290.76390981674194,False
168,5.615501730103806,2.5424805,45.6055,True,True,0.9918799996376038,0.9938280582427979,290.7168245315552,False
169,5.648927335640138,2.540039,45.63095,True,True,0.9918580651283264,0.993853747844696,290.65080642700195,False
170,5.682352941176471,2.540039,45.730774,True,True,0.9917039275169373,0.9938036799430847,290.61787605285645,False
171,5.715778546712802,2.539032,45.736816,True,True,0.99151211977005,0.9937260746955872,290.5751037597656,False
172,5.749204152249135,2.5424194,45.73703,True,True,0.9912375807762146,0.9937165379524231,290.5737090110779,False
173,5.782629757785467,2.5475159,45.676697,True,True,0.9909020066261292,0.9935465455055237,290.5874705314636,False
174,5.816055363321799,2.5522156,45.570496,True,True,0.9905463457107544,0.9933085441589355,290.60739040374756,False
175,5.849480968858131,2.5625305,45.484924,True,True,0.9902383685112,0.9931644201278687,290.6226181983948,False
176,5.882906574394464,2.5694885,45.335693,True,True,0.9899786114692688,0.9930484890937805,290.6374454498291,False
177,5.916332179930796,2.578064,45.265564,True,True,0.9900892376899719,0.9930309057235718,290.6999731063843,False
178,5.949757785467128,2.5727234,45.23593,True,True,0.990141749382019,0.9930467009544373,290.74162244796753,False
179,5.98318339100346,2.5715332,45.19223,True,True,0.9902111887931824,0.9930858612060547,290.7663416862488,False
180,6.016608996539793,2.5682983,45.19394,True,True,0.9902432560920715,0.9931591749191284,290.7543897628784,False
181,6.050034602076124,2.5679016,45.19812,True,True,0.9903473854064941,0.9932532906532288,290.6911826133728,False
182,6.083460207612457,2.5706177,45.206573,True,True,0.9905083179473877,0.9934088587760925,290.690975189209,False
183,6.116885813148789,2.5753784,45.386597,True,True,0.9906119108200073,0.993492603302002,290.70837020874023,False
184,6.150311418685121,2.5754395,45.574463,True,True,0.9907606840133667,0.9936314225196838,290.7072401046753,False
185,6.183737024221453,2.5760498,45.79712,True,True,0.9908862709999084,0.9936891198158264,290.6228542327881,False
186,6.2171626297577856,2.5784607,46.006042,True,True,0.9909831285476685,0.9936847686767578,290.5958962440491,False
187,6.250588235294118,2.5733337,46.295685,True,True,0.99113929271698,0.9937068819999695,290.59412956237793,False
188,6.28401384083045,2.5549927,46.466095,True,True,0.9913079142570496,0.9937652945518494,290.52661657333374,False
189,6.317439446366782,2.5159607,46.734253,True,True,0.9915048480033875,0.9939759373664856,290.4940152168274,False
190,6.3508650519031145,2.4911194,46.97235,True,True,0.9916552305221558,0.9941816926002502,290.4276967048645,False
191,6.384290657439446,2.4551086,47.098663,True,True,0.9917841553688049,0.9943621158599854,290.39684772491455,False
192,6.4177162629757785,2.4350586,47.26111,True,True,0.991935670375824,0.9945061206817627,290.4146718978882,False
193,6.451141868512111,2.4271545,47.49597,True,True,0.9920786619186401,0.9946073889732361,290.4403567314148,False
194,6.4845674740484425,2.4115906,47.601776,True,True,0.9921935200691223,0.9946723580360413,290.45064210891724,False
195,6.517993079584775,2.4004211,47.619507,True,True,0.9922035336494446,0.9946594834327698,290.44167280197144,False
